,Distances,Mean N normal,Mean N inverted,SD N normal,SD N inverted
0,5000,40871.25,41741.05,234.30661002199662,163.6787936783504
1,7000,20883.0,21341.35,119.13102030957344,188.6062764066986
2,9000,12631.3,12899.65,99.30161126588027,120.59032921424503
3,11000,8459.65,8638.7,95.5119233394449,120.35036352250873
4,13000,6050.95,6195.15,71.28707807169543,107.54035289136817
5,15000,4541.95,4656.2,61.54630370704645,65.00584589096584
6,17000,3551.6,3618.45,55.84478489527917,62.28842187758492
7,19000,2841.3,2893.65,56.7213363735376,52.77999147404251
8,21000,2322.85,2375.15,46.878859841084015,35.539098187770605
9,23000,1940.2,1967.1,39.15558708537008,39.75789229825948
10,25000,1627.5,1670.55,32.01640204645113,39.3579407489772
11,27000,1398.0,1411.7,34.02499081557554,33.52327549628765
12,29000,1211.8,1233.55,34.39563925848741,23.656870038109435
13,31000,1062.7,1080.85,28.284448023604774,32.01605066212883
14,33000,948.05,967.0,27.010136985953995,39.05764969887461
15,35000,834.4,857.65,21.03663471185446,27.939711881120033
16,37000,743.55,773.95,31.75448787179538,27.401596668807457
17,39000,675.9,686.1,26.774801586566426,23.91840295671933
18,41000,601.4,611.45,30.062268710128983,20.51456799447651
19,43000,548.05,570.05,15.985853120806535,22.048752799194787
