,0,pi/16,2pi/16,3pi/16,4pi/16,5pi/16,6pi/16,7pi/16,8pi/16,9pi/16,10pi/16,11pi/16,12pi/16,13pi/16,14pi/16,15pi/16,16pi/16
0,0.5071196518459884,0.25009633807071685,0.11195387542241893,0.0008024676971640721,0.006870462059999277,2.4166242842259497e-06,8.594379172023955e-06,1.9034104371031216e-08,1.427189687579289e-11,1.082090774050876e-10,1.63291472644117e-11,1.4097185674618222e-07,4.473225764051908e-09,6.868549634569055e-10,1.758881263602934e-10,5.742950691793505e-11,8.953998947598136e-09
pi/16,0.5438605672881309,0.535491506981673,0.22167361567070465,0.042990671187292905,0.022956764876149557,0.004318573342169826,0.0020407735959532517,3.166273035297314e-05,6.299462361165653e-10,3.765624573369377e-09,3.5936210919035146e-10,1.7584187797787673e-08,2.5711093258151083e-09,3.4342412204623253e-09,3.5169924620437723e-09,1.0216471172590875e-10,5.587090317222386e-09
2pi/16,0.16777094587348268,0.24612958302488322,0.7157184098590454,0.4031556683573093,0.04261687687762856,0.00024642512269946375,0.002928952096931162,2.0243050285894447e-07,3.658715447790894e-08,6.563220205857292e-09,9.876788561163201e-11,1.9322475982220616e-07,6.702645426664692e-09,2.7461971161977698e-11,2.257116887214108e-09,1.616736654046725e-10,1.5464121550069434e-08
3pi/16,0.022059057854773644,0.044134769223584766,0.2536291282099447,0.4437552806503833,0.31829169803600826,0.06681722490423894,0.05603987937306608,0.0002829016826456299,1.6586359814520037e-05,9.724621423463527e-07,1.0790085959745516e-09,2.075474800799851e-07,6.854451264738061e-10,1.2665401906673627e-08,1.720140599249427e-08,4.602035394860686e-10,3.424704449711617e-09
4pi/16,0.00011009230267717857,0.0011822573636378786,0.15519705288598087,0.30674072753853127,0.8006184659401535,0.5850023387417203,0.2089479898815639,0.001430609029602721,1.530930798050532e-05,2.163463610962619e-05,4.425622220680808e-07,7.801529841100563e-07,3.027513547880297e-07,7.1470437620022006e-09,1.4835895824467615e-10,3.73287251754326e-11,4.44641312988864e-09
5pi/16,2.5007999115850614e-06,0.00010186639752276265,0.0007243509307178305,0.31483729989655374,0.30155786514736815,0.7538799627493471,0.39370597715141764,0.03925043612860496,0.00034545559249304843,0.0001212133326925476,1.536048033405135e-06,2.031798133739389e-07,5.330561668091572e-07,2.5427745616852554e-08,1.0724374322424958e-08,4.342077836595486e-10,1.1024658528412223e-08
6pi/16,1.3201810993292795e-07,3.8677981119664445e-07,0.0014642711117415685,0.02823260316060524,0.038214201545391915,0.38532153270159164,0.3602315665892686,0.3788424634539978,0.01750372157037574,0.0022189298445854837,1.9392922876025393e-05,0.00010457255727333958,1.3619178560118066e-06,4.19045124933494e-08,4.6863667383788655e-08,1.041090489264373e-08,4.286335058406751e-08
7pi/16,3.4728191698631694e-10,4.178306247864497e-07,1.0773288680244885e-07,0.015302799350082635,0.0037910879487023236,0.20409229109432037,0.19447191427675242,0.5943598588498109,0.1000526208019196,0.020367476265277344,0.014600700547077067,0.000174850246149819,0.00015312508330945652,2.6889927113980595e-07,2.805160862857386e-07,2.2590423447717322e-10,2.064317667674218e-08
8pi/16,6.329561457857452e-11,4.307363549772971e-09,9.014107434525308e-06,0.0008943248139911171,0.0015952401730020432,0.01425946348053166,0.07398044524920787,0.4065740093841551,0.3844556705908556,0.12634877027322217,0.09461749379016533,0.005110873166682674,6.585681344098375e-05,1.1255273920055295e-05,3.037095992817899e-06,1.1324765990969913e-07,6.02588595545953e-08
9pi/16,5.733279019729072e-12,3.976255780067317e-08,1.1944500405885348e-09,3.8122849143140485e-05,6.286170612586555e-07,0.0049669166943247444,0.0004925878430134096,0.08859104056514998,0.48619400966211906,0.6431637474173793,0.48551090245774525,0.13035106940745528,0.008890251706937746,8.624209602195603e-05,4.294886827639246e-05,2.653429714978221e-07,6.192250363798467e-07
