# Earth density profile
# Extracted using WebPlotDigitalizer from https://en.wikipedia.org/wiki/Gravity_of_Earth

Radius [km]; Density [kg/m^-3]

47.303;13094.994
133.937;13094.994
189.067;13094.994
315.080;13068.826
388.587;13064.465
488.347;13042.659
590.732;13016.491
689.180;12990.323
778.767;12960.885
871.307;12928.175
962.019;12893.129
1062.404;12847.855
1149.913;12807.150
1205.044;12780.982
1267.175;12147.143
1356.934;12096.884
1434.567;12059.502
1521.200;12007.167
1610.084;11951.093
1701.218;11891.281
1786.539;11834.585
1879.408;11763.714
1980.809;11681.940
2075.318;11603.437
2164.577;11524.934
2258.149;11438.955
2351.533;11349.237
2453.919;11244.566
2537.364;11154.225
2647.888;11032.982
2727.321;10941.769
2819.580;10831.491
2914.090;10713.736
3016.475;10582.898
3108.734;10459.536
3205.494;10324.492
3302.957;10187.112
3391.887;10055.184
3463.426;9909.081
3481.146;9483.856
3481.146;9196.012
3481.146;8908.168
3481.146;8620.323
3481.146;8332.479
3481.146;8044.635
3481.146;7756.790
3481.146;7468.946
3481.146;7181.102
3481.146;6893.257
3481.146;6605.413
3481.146;6317.569
3481.146;6029.724
3512.649;5584.874
3605.190;5516.184
3700.793;5468.573
3811.929;5414.784
3923.066;5360.995
4024.576;5310.114
4126.086;5259.232
4228.471;5206.897
4335.669;5153.108
4434.117;5100.772
4532.564;5048.437
4634.949;4996.102
4729.459;4943.766
4822.280;4893.300
4926.353;4839.096
5020.863;4786.760
5115.372;4734.425
5204.819;4683.959
5301.578;4627.885
5391.025;4577.419
5481.596;4525.084
5572.168;4472.748
5668.646;4397.516
5745.998;3997.992
5824.193;3923.227
5913.640;3809.211
5998.773;3577.233
6099.846;3478.377
6200.918;3404.235
6277.051;3386.790
6336.119;3354.081
6351.871;2955.024
6367.622;2549.425
6371.560;2183.078
6371.560;1895.233
6371.560;1607.389
6371.560;1208.332

