# Earth density profile in electron mol number
# Extracted using WebPlotDigitalizer from Introduction to the Formalism of Neutrino Oscillations: A Tutorial for Graduate Students

Radius [km]; Rho[nº mols e^-/cm^3]

49.464;6.108
175.423;6.116
296.785;6.109
418.146;6.105
539.508;6.090
660.870;6.076
782.232;6.058
903.594;6.035
1024.955;6.012
1146.317;5.986
1218.031;5.919
1278.712;5.678
1400.074;5.642
1521.435;5.609
1642.797;5.573
1764.159;5.534
1885.521;5.491
2006.882;5.446
2128.244;5.399
2249.606;5.348
2370.968;5.294
2492.330;5.235
2613.691;5.175
2735.053;5.110
2856.415;5.043
2977.777;4.972
3099.138;4.895
3220.500;4.815
3341.862;4.731
3441.158;4.648
3474.257;4.358
3479.773;4.084
3474.257;3.969
3474.257;3.775
3474.257;3.580
3474.257;3.386
3479.773;3.111
3529.421;2.910
3650.783;2.870
3772.145;2.839
3893.506;2.808
4014.868;2.775
4136.230;2.744
4257.592;2.711
4378.953;2.680
4500.315;2.648
4621.677;2.614
4743.039;2.580
4864.401;2.547
4985.762;2.512
5107.124;2.478
5228.486;2.443
5349.848;2.405
5471.209;2.368
5592.571;2.330
5680.834;2.278
5758.065;2.080
5879.426;2.010
6000.788;1.869
6122.150;1.801
6243.512;1.768
6326.258;1.750
6348.324;1.440
6364.873;1.210
6364.873;1.015
6364.873;0.821
6364.873;0.569

