Energy,16-O(nu-eletron)X (1e-42),16-O(nubar-positron)X (1e-42),Reference
15.0,1.56e-6,2.53e-2,"Kolbe, E., Langanke, K., & Vogel, P. (2002). Estimates of weak and electromagnetic nuclear decay signatures for neutrino reactions in Super-Kamiokande. Physical Review D, 66(1), 013007."
17.5,8.42e-4,7.27e-2,
20.0,7.26e-3,1.81e-1,
22.5,3.99e-2,4.21e-1,
25.0,1.77e-1,8.90e-1,
27.5,5.23e-1,1.69,
30.0,1.25,2.94,
32.5,2.58,4.76,
35.0,4.76,7.26,
37.5,8.05,1.06e+1,
40.0,1.28e+1,1.48e+1,
45.0,2.76e+1,2.64e+1,
50.0,5.21e+1,4.29e+1,
55.0,8.89e+1,6.46e+1,
60.0,1.41e+2,9.17e+1,
65.0,2.12e+2,1.25e+2,
70.0,3.02e+2,1.63e+2,
80.0,5.52e+2,2.57e+2,
90.0,8.92e+2,3.77e+2,
100.0,1.32e+3,5.18e+2,
