,Distances,Mean N normal,Mean N inverted,SD N normal,SD N inverted
0,0.1,73695605.13333334,75851331.56666666,9303.257421402941,8693.178941688835
1,3.0,81820.03333333334,84316.13333333333,246.66285807870537,267.4454129142784
2,5.0,29461.5,30349.333333333332,144.95119868424683,141.5649046276026
3,7.0,15028.033333333333,15455.066666666668,139.23014121310882,99.67110358016956
4,9.0,9085.5,9381.066666666668,105.00246028863641,95.04803463980141
5,11.0,6072.566666666667,6272.8,58.61836079439804,78.72288951336412
6,13.0,4356.733333333334,4471.933333333333,66.96314077328081,76.52447683947636
7,15.0,3274.2,3367.9333333333334,59.03919601981947,59.27896385359274
8,17.0,2549.3333333333335,2620.0666666666666,44.31052044630284,41.55232310660326
9,19.0,2044.9,2086.5,41.759110782359016,39.28252367996062
10,21.0,1683.2,1712.1666666666667,38.29046878793729,40.23603967699715
11,23.0,1384.7333333333333,1437.5,30.12522014672903,37.32269193578262
12,25.0,1164.7333333333333,1207.1333333333334,33.76382021566214,34.35572085629343
13,27.0,1012.4333333333333,1037.2666666666667,38.86702401207938,32.842993502758276
14,29.0,881.1333333333333,903.7666666666667,30.023028198738086,32.68402599979929
15,31.0,770.1666666666666,782.8333333333334,28.440679004240074,28.284369456566566
16,33.0,672.6333333333333,693.1,26.2316390812486,27.888289059507873
17,35.0,602.5333333333333,618.0,20.89933544929652,25.261301101355276
18,37.0,537.5666666666667,548.2666666666667,23.119520371803176,25.14349927029958
19,39.0,480.73333333333335,500.8333333333333,19.802244541689934,18.01866316412575
20,41.0,438.6,451.1333333333333,20.73419076469267,19.98955282696995
21,43.0,400.93333333333334,406.96666666666664,22.302366590914865,21.964339785712255
22,45.0,359.93333333333334,373.06666666666666,20.26644736723457,16.070538952450296
23,47.0,335.1333333333333,344.4,19.56311722490962,19.89907870564196
24,49.0,311.43333333333334,311.8,19.25908155188669,18.504774158758778
25,51.0,282.76666666666665,295.93333333333334,16.20428612709887,14.664999905292268
26,53.0,261.6333333333333,268.43333333333334,19.393269164555235,14.25875949100139
27,55.0,245.2,253.4,12.65279942674084,12.389780735213463
28,57.0,230.13333333333333,227.4,12.574400803042487,14.05844941663198
29,59.0,216.73333333333332,218.9,15.941420541748744,13.777638888188836
30,61.0,197.26666666666668,207.4,12.811279752190602,14.402777509911065
31,63.0,186.16666666666666,186.96666666666667,15.701556893788874,16.869070974880497
32,65.0,174.26666666666668,178.86666666666667,11.354685767950116,15.57505127510732
33,67.0,165.7,168.9,10.87857221023666,14.339572285578582
34,69.0,155.9,157.13333333333333,11.872517284327982,13.480191228449081
35,71.0,145.2,147.5,14.25108183027988,10.049046389251735
36,73.0,135.2,141.83333333333334,9.056857438795571,14.516848448919239
37,75.0,131.1,137.26666666666668,11.756841979602061,11.834788642904538
38,77.0,123.96666666666667,127.9,11.1638802493677,10.839280418920806
39,79.0,118.26666666666667,118.96666666666667,8.999753083032642,7.054470607746237
40,81.0,112.93333333333334,116.8,9.973074862960882,9.335952013587045
41,83.0,106.96666666666667,109.83333333333333,9.18870079076592,10.872237835678337
42,85.0,101.63333333333334,105.93333333333334,12.191481543365525,12.638389489523137
43,87.0,98.23333333333333,102.13333333333334,8.879501988037143,9.659997699562643
44,89.0,92.6,96.9,10.812338630780422,8.411698203494147
45,91.0,91.93333333333334,94.13333333333334,12.439006748486346,8.30555369751001
46,93.0,86.3,86.96666666666667,9.599131905195037,8.897502770752899
47,95.0,81.63333333333334,84.8,7.400375365855138,9.603471594515531
48,97.0,80.1,81.06666666666666,8.855694966140904,7.719815772125366
49,99.0,78.36666666666666,78.83333333333333,7.364252998249192,5.721790706491185
