,Distances,Mean N normal,Mean N inverted,SD N normal,SD N inverted
0,0.1,109301436.4,113420586.16666667,11198.138028559331,11028.58140797003
1,3.0,121386.16666666667,126097.2,338.26469747160365,418.5146273827634
2,5.0,43739.166666666664,45434.8,169.37553607951244,205.36737813002338
3,7.0,22320.1,23159.066666666666,163.9838101764927,132.42379779413602
4,9.0,13479.8,13985.2,79.02041930201754,79.41007492755564
5,11.0,9031.666666666666,9360.033333333333,76.50678982213859,97.98009435027551
6,13.0,6445.733333333334,6720.933333333333,69.97901272683276,60.598643182463704
7,15.0,4881.733333333334,5027.233333333334,67.99163347223114,56.99338168204757
8,17.0,3800.7,3918.6,66.28783196535143,60.84548737033283
9,19.0,3037.8333333333335,3119.0666666666666,37.193264025746494,56.46351821210656
10,21.0,2491.9333333333334,2591.0666666666666,51.809222688200556,44.25602281673711
11,23.0,2062.1,2140.9666666666667,40.91890353695547,39.49893106851824
12,25.0,1752.1,1809.2,47.83398373541555,47.56357149471992
13,27.0,1500.9,1554.7333333333333,41.75352280546716,36.29410726581138
14,29.0,1297.7,1344.2666666666667,38.91627765687086,33.578696950431066
15,31.0,1133.2666666666667,1180.4,33.75592129126714,22.009997728305198
16,33.0,1007.6333333333333,1037.2666666666667,31.826072470364434,26.721942710480878
17,35.0,895.1666666666666,924.3,28.791298839908016,33.58883743150393
18,37.0,802.5,831.6333333333333,30.940534362978717,26.25069311254255
19,39.0,715.5666666666667,744.3666666666667,23.211611079132116,25.545362701585496
20,41.0,644.7333333333333,673.3333333333334,18.734875381372454,25.06835100724063
21,43.0,588.6,604.6,20.993014711247802,21.021576217464442
22,45.0,544.6333333333333,561.3,17.720954325944813,28.103558493543126
23,47.0,499.9,511.3333333333333,21.26867806580058,23.199616855073753
24,49.0,454.23333333333335,472.1,19.71409535219802,15.786808839449895
25,51.0,412.9,441.3333333333333,20.91626161626403,15.801547040998512
26,53.0,386.3333333333333,405.46666666666664,16.174740252078927,16.57052269007294
27,55.0,358.93333333333334,376.93333333333334,19.08914758588124,19.104856857761476
28,57.0,332.46666666666664,345.96666666666664,17.454194020031085,18.74296905212429
29,59.0,311.8333333333333,323.73333333333335,15.639870701369484,14.354867544572546
30,61.0,301.3,304.56666666666666,15.30174282012782,16.938483468782625
31,63.0,276.6666666666667,287.06666666666666,17.69431798315179,12.176297558051964
32,65.0,257.76666666666665,269.6666666666667,15.158459317783219,16.036070452438015
33,67.0,237.56666666666666,249.56666666666666,16.654695700879344,10.474360229733472
34,69.0,230.3,240.56666666666666,18.587002627284118,15.17164753376801
35,71.0,215.33333333333334,227.6,19.16304313573975,15.112026116088252
36,73.0,206.73333333333332,213.13333333333333,10.896278671587327,18.097390849389186
37,75.0,192.73333333333332,204.8,11.882573608253205,12.014990636700473
38,77.0,180.33333333333334,187.83333333333334,13.57530437555228,12.848043517291735
39,79.0,174.26666666666668,176.76666666666668,12.209104071233984,9.783262350679461
40,81.0,170.13333333333333,174.96666666666667,11.729544842926439,15.721499787092693
41,83.0,160.6,164.93333333333334,13.514436725220921,12.30970710004462
42,85.0,151.0,155.76666666666668,10.227414140436476,14.60521215943891
43,87.0,142.06666666666666,147.96666666666667,11.21883337171126,11.875698809847874
44,89.0,140.26666666666668,140.96666666666667,11.224774187285709,12.96015260541154
45,91.0,133.73333333333332,136.9,11.664571240393803,12.095040305844373
46,93.0,131.36666666666667,131.36666666666667,11.92052385127805,10.719089928202342
47,95.0,122.23333333333333,124.93333333333334,10.591453577714859,10.223937054231548
48,97.0,117.1,121.36666666666666,8.379936356162458,10.6034061613343
49,99.0,111.0,120.6,9.44104513988432,9.072302170158721
